,Date,UTX,Mkt.RF,SMB,HML,fit,lwr,upr,correct,fitted,,,
178,9/14/2005,-1.105172418,-0.35,-0.68,0.53,-0.077716152,-1.918498657,1.763066353,TRUE,-0.077716152,TRUE,,
179,9/15/2005,-0.554055318,-0.02,-0.24,0.29,0.091297682,-1.740130749,1.922726114,FALSE,0.091297682,TRUE,,
180,9/16/2005,1.360386737,0.71,0.15,-0.06,0.600552063,-1.231781322,2.432885449,TRUE,0.600552063,TRUE,,
181,9/19/2005,-0.988065946,-0.45,-0.17,0.37,-0.288171522,-2.121147474,1.544804431,TRUE,-0.288171522,FALSE,,
182,9/20/2005,0.205495249,-0.75,-0.17,0.07,-0.652607303,-2.486365404,1.181150798,FALSE,-0.652607303,FALSE,,
183,9/21/2005,-0.834579007,-0.95,-0.51,0.41,-0.686602985,-2.52493733,1.151731361,TRUE,-0.686602985,TRUE,,
184,9/22/2005,0.587083757,0.2,-0.05,-0.27,0.098648227,-1.733098681,1.930395136,TRUE,0.098648227,FALSE,,
185,9/23/2005,1.571447399,0.14,0.57,0.07,0.059138519,-1.775540046,1.893817084,TRUE,0.059138519,TRUE,,
186,9/26/2005,0.162799967,0.23,0.51,0.15,0.17383162,-1.659741989,2.007405228,TRUE,0.17383162,TRUE,,
187,9/27/2005,0.299541311,-0.04,-0.09,0,-0.034693709,-1.863644806,1.794257388,FALSE,-0.034693709,TRUE,,
188,9/28/2005,-0.092293212,0.09,-0.6,0.37,0.266076954,-1.573484525,2.105638433,FALSE,0.266076954,TRUE,,
189,9/29/2005,-0.800322117,0.85,0.25,-0.05,0.717789345,-1.115788842,2.551367532,FALSE,0.717789345,FALSE,,
190,9/30/2005,0.635161324,0.23,0.3,-0.3,0.068395669,-1.76397757,1.900768908,TRUE,0.068395669,TRUE,,
191,10/3/2005,-0.287887273,0.02,0.47,0.05,-0.042781663,-1.876184722,1.790621396,TRUE,-0.042781663,FALSE,,
192,10/4/2005,-2.501433368,-0.97,0.22,-0.33,-1.028040983,-2.876933802,0.820851837,TRUE,-1.028040983,TRUE,,
193,10/5/2005,-0.822557144,-1.69,-0.98,-0.39,-1.538052439,-3.401025855,0.324920977,TRUE,-1.538052439,TRUE,,
194,10/6/2005,-0.481480335,-0.64,-0.3,0.04,-0.542778054,-2.375069945,1.289513837,TRUE,-0.542778054,TRUE,,
195,10/7/2005,0.719305958,0.46,0.3,0.22,0.434589754,-1.397332638,2.266512147,TRUE,0.434589754,FALSE,,
196,10/10/2005,-0.317476029,-0.75,-0.07,-0.3,-0.777269007,-2.616085813,1.061547799,TRUE,-0.777269007,FALSE,,
197,10/11/2005,-0.196131601,-0.28,-0.95,0.26,-0.056840244,-1.901363572,1.787683084,TRUE,-0.056840244,TRUE,,
198,10/12/2005,0.43406435,-0.83,-0.49,-0.09,-0.729171884,-2.565324992,1.106981223,FALSE,-0.729171884,FALSE,,
199,10/13/2005,0.694145082,-0.22,0.48,-0.88,-0.542231072,-2.400656173,1.316194029,FALSE,-0.542231072,FALSE,,
200,10/14/2005,2.216835569,0.94,0.5,-0.05,0.765370722,-1.069461943,2.600203388,TRUE,0.765370722,FALSE,,
201,10/17/2005,-1.022210109,0.33,-0.37,0.25,0.417853728,-1.417922658,2.253630115,FALSE,0.417853728,FALSE,,
202,10/18/2005,-2.306401663,-1.1,0.08,-0.45,-1.163474722,-3.016086039,0.689136595,TRUE,-1.163474722,FALSE,,
203,10/19/2005,3.780627194,1.4,0.39,-0.11,1.183860791,-0.658741582,3.026463164,TRUE,1.183860791,FALSE,,
204,10/20/2005,-0.130624009,-1.49,0.02,-0.58,-1.551071297,-3.419147771,0.317005177,TRUE,-1.551071297,FALSE,,
205,10/21/2005,-1.794167216,0.34,0.38,0.24,0.319575346,-1.512993868,2.15214456,FALSE,0.319575346,TRUE,,
